dataset_index,source_step_index,majority_label,majority_count,neutral_votes,correct_votes,incorrect_votes,vote_pattern,has_correct,has_incorrect,has_neutral,correct_incorrect_conflict,votes_sequence
3,1,neutral,4,4,3,0,4-3,1,0,1,0,neutral|neutral|neutral|correct|neutral|correct|correct
6,2,correct,6,1,6,0,6-1,1,0,1,0,correct|correct|neutral|correct|correct|correct|correct
6,9,neutral,6,6,0,1,6-1,0,1,1,0,neutral|incorrect|neutral|neutral|neutral|neutral|neutral
8,6,neutral,6,6,1,0,6-1,1,0,1,0,correct|neutral|neutral|neutral|neutral|neutral|neutral
13,8,incorrect,5,2,0,5,5-2,0,1,1,0,incorrect|incorrect|neutral|incorrect|neutral|incorrect|incorrect
23,1,correct,4,3,4,0,4-3,1,0,1,0,neutral|neutral|neutral|correct|correct|correct|correct
23,2,correct,6,1,6,0,6-1,1,0,1,0,correct|correct|neutral|correct|correct|correct|correct
23,3,correct,4,3,4,0,4-3,1,0,1,0,neutral|correct|correct|correct|neutral|neutral|correct
23,4,correct,5,1,5,1,5-1-1,1,1,1,1,neutral|correct|incorrect|correct|correct|correct|correct
23,7,neutral,6,6,0,1,6-1,0,1,1,0,neutral|neutral|neutral|neutral|incorrect|neutral|neutral
26,3,correct,6,1,6,0,6-1,1,0,1,0,correct|correct|neutral|correct|correct|correct|correct
26,5,correct,4,3,4,0,4-3,1,0,1,0,neutral|neutral|correct|correct|correct|correct|neutral
28,3,neutral,5,5,0,2,5-2,0,1,1,0,neutral|neutral|neutral|neutral|incorrect|incorrect|neutral
29,4,correct,4,1,4,2,4-2-1,1,1,1,1,correct|correct|neutral|incorrect|correct|correct|incorrect
45,1,neutral,5,5,2,0,5-2,1,0,1,0,neutral|correct|neutral|neutral|correct|neutral|neutral
45,2,neutral,6,6,0,1,6-1,0,1,1,0,neutral|neutral|neutral|neutral|incorrect|neutral|neutral
51,2,neutral,6,6,1,0,6-1,1,0,1,0,neutral|neutral|neutral|neutral|neutral|neutral|correct
51,5,neutral,4,4,0,3,4-3,0,1,1,0,neutral|neutral|incorrect|neutral|neutral|incorrect|incorrect
56,6,incorrect,5,2,0,5,5-2,0,1,1,0,neutral|incorrect|neutral|incorrect|incorrect|incorrect|incorrect
58,3,correct,4,3,4,0,4-3,1,0,1,0,correct|correct|neutral|neutral|neutral|correct|correct
62,1,correct,4,3,4,0,4-3,1,0,1,0,neutral|correct|correct|correct|correct|neutral|neutral
77,8,neutral,5,5,2,0,5-2,1,0,1,0,correct|neutral|correct|neutral|neutral|neutral|neutral
79,1,correct,5,2,5,0,5-2,1,0,1,0,correct|correct|correct|correct|neutral|correct|neutral
79,3,correct,4,3,4,0,4-3,1,0,1,0,neutral|correct|neutral|correct|correct|correct|neutral
79,5,neutral,5,5,2,0,5-2,1,0,1,0,correct|neutral|correct|neutral|neutral|neutral|neutral
102,3,correct,5,2,5,0,5-2,1,0,1,0,neutral|correct|neutral|correct|correct|correct|correct
102,4,neutral,4,4,0,3,4-3,0,1,1,0,incorrect|incorrect|neutral|neutral|neutral|neutral|incorrect
103,3,correct,6,1,6,0,6-1,1,0,1,0,correct|correct|correct|neutral|correct|correct|correct
122,2,correct,4,3,4,0,4-3,1,0,1,0,neutral|correct|neutral|correct|correct|neutral|correct
122,3,incorrect,3,3,1,3,3-3-1,1,1,1,1,incorrect|neutral|neutral|incorrect|incorrect|correct|neutral
122,4,neutral,5,5,0,2,5-2,0,1,1,0,neutral|incorrect|neutral|neutral|incorrect|neutral|neutral
126,2,neutral,4,4,3,0,4-3,1,0,1,0,correct|correct|neutral|correct|neutral|neutral|neutral
126,4,incorrect,5,2,0,5,5-2,0,1,1,0,incorrect|incorrect|incorrect|neutral|neutral|incorrect|incorrect
135,2,correct,6,1,6,0,6-1,1,0,1,0,correct|correct|correct|correct|correct|neutral|correct
135,6,neutral,5,5,2,0,5-2,1,0,1,0,neutral|neutral|correct|neutral|neutral|correct|neutral
135,8,correct,6,1,6,0,6-1,1,0,1,0,correct|correct|neutral|correct|correct|correct|correct
137,1,neutral,6,6,1,0,6-1,1,0,1,0,neutral|neutral|neutral|correct|neutral|neutral|neutral
137,2,neutral,4,4,0,3,4-3,0,1,1,0,incorrect|incorrect|neutral|incorrect|neutral|neutral|neutral
138,2,neutral,4,4,3,0,4-3,1,0,1,0,neutral|correct|correct|neutral|neutral|correct|neutral
138,3,correct,4,3,4,0,4-3,1,0,1,0,neutral|correct|correct|neutral|correct|correct|neutral
138,4,neutral,6,6,0,1,6-1,0,1,1,0,neutral|neutral|neutral|neutral|neutral|incorrect|neutral
138,6,incorrect,6,1,0,6,6-1,0,1,1,0,incorrect|neutral|incorrect|incorrect|incorrect|incorrect|incorrect
140,5,correct,4,1,4,2,4-2-1,1,1,1,1,correct|correct|correct|incorrect|incorrect|neutral|correct
141,4,correct,6,1,6,0,6-1,1,0,1,0,correct|correct|neutral|correct|correct|correct|correct
141,5,correct,4,3,4,0,4-3,1,0,1,0,neutral|correct|neutral|correct|correct|neutral|correct
141,7,neutral,6,6,1,0,6-1,1,0,1,0,neutral|neutral|neutral|neutral|correct|neutral|neutral
146,5,neutral,5,5,2,0,5-2,1,0,1,0,neutral|correct|neutral|neutral|neutral|correct|neutral
152,2,correct,6,1,6,0,6-1,1,0,1,0,correct|correct|correct|neutral|correct|correct|correct
155,2,correct,6,1,6,0,6-1,1,0,1,0,correct|correct|correct|correct|correct|correct|neutral
155,5,neutral,5,5,2,0,5-2,1,0,1,0,neutral|neutral|correct|correct|neutral|neutral|neutral
155,6,incorrect,6,0,1,6,6-1,1,1,0,1,incorrect|incorrect|incorrect|incorrect|correct|incorrect|incorrect
157,2,correct,5,2,5,0,5-2,1,0,1,0,correct|neutral|correct|correct|neutral|correct|correct
157,7,correct,5,2,5,0,5-2,1,0,1,0,correct|correct|neutral|correct|correct|neutral|correct
158,2,correct,6,1,6,0,6-1,1,0,1,0,correct|neutral|correct|correct|correct|correct|correct
158,4,incorrect,4,3,0,4,4-3,0,1,1,0,incorrect|incorrect|incorrect|neutral|neutral|incorrect|neutral
169,1,neutral,4,4,3,0,4-3,1,0,1,0,neutral|neutral|correct|neutral|correct|neutral|correct
169,2,correct,4,3,4,0,4-3,1,0,1,0,correct|correct|correct|correct|neutral|neutral|neutral
169,8,correct,6,1,6,0,6-1,1,0,1,0,correct|correct|correct|correct|correct|correct|neutral
169,9,incorrect,6,1,0,6,6-1,0,1,1,0,incorrect|neutral|incorrect|incorrect|incorrect|incorrect|incorrect
170,3,correct,5,2,5,0,5-2,1,0,1,0,correct|correct|neutral|correct|correct|neutral|correct
170,4,correct,4,3,4,0,4-3,1,0,1,0,neutral|neutral|correct|correct|correct|neutral|correct
173,4,correct,4,3,4,0,4-3,1,0,1,0,correct|correct|correct|correct|neutral|neutral|neutral
175,4,incorrect,4,3,0,4,4-3,0,1,1,0,incorrect|neutral|incorrect|neutral|incorrect|incorrect|neutral
181,5,correct,4,3,4,0,4-3,1,0,1,0,correct|neutral|correct|neutral|correct|neutral|correct
181,6,incorrect,6,1,0,6,6-1,0,1,1,0,incorrect|incorrect|incorrect|incorrect|incorrect|neutral|incorrect
190,1,neutral,6,6,1,0,6-1,1,0,1,0,neutral|neutral|neutral|neutral|neutral|neutral|correct
190,2,neutral,6,6,1,0,6-1,1,0,1,0,neutral|correct|neutral|neutral|neutral|neutral|neutral
190,4,neutral,4,4,3,0,4-3,1,0,1,0,correct|neutral|neutral|correct|neutral|correct|neutral
191,8,neutral,6,6,0,1,6-1,0,1,1,0,neutral|neutral|neutral|neutral|neutral|incorrect|neutral
194,3,correct,5,2,5,0,5-2,1,0,1,0,correct|correct|neutral|correct|correct|correct|neutral
194,9,neutral,5,5,2,0,5-2,1,0,1,0,neutral|neutral|neutral|neutral|neutral|correct|correct
195,1,neutral,5,5,2,0,5-2,1,0,1,0,neutral|neutral|correct|correct|neutral|neutral|neutral
195,2,neutral,4,4,3,0,4-3,1,0,1,0,correct|correct|neutral|neutral|correct|neutral|neutral
196,8,incorrect,5,2,0,5,5-2,0,1,1,0,incorrect|neutral|neutral|incorrect|incorrect|incorrect|incorrect
